timestamp,temperature,vibration,pressure,rotation_speed,power_consumption,anomaly
2026-02-24 11:14:25.091904,83.32,5.18,118.47,1460.0,59.89,0
2026-02-24 11:15:25.091904,82.92,6.87,101.81,1541.0,53.48,0
2026-02-24 11:16:25.091904,89.4,7.77,117.47,1434.7,48.99,0
2026-02-24 11:17:25.091904,88.65,4.78,112.68,1421.3,54.37,0
2026-02-24 11:18:25.091904,81.74,6.57,135.94,1503.1,57.21,0
2026-02-24 11:19:25.091904,82.3,6.85,126.7,1464.9,45.62,0
2026-02-24 11:20:25.091904,89.99,5.28,84.06,1509.3,50.75,0
2026-02-24 11:21:25.091904,91.59,8.5,120.6,1472.6,51.79,0
2026-02-24 11:22:25.091904,80.94,6.87,106.44,1437.3,40.52,0
2026-02-24 11:23:25.091904,81.14,3.95,102.67,1530.3,57.23,0
2026-02-24 11:24:25.091904,78.17,5.47,92.68,1551.1,61.9,0
2026-02-24 11:25:25.091904,80.3,6.54,130.46,1458.2,45.5,0
2026-02-24 11:26:25.091904,88.32,8.44,132.09,1606.4,52.0,0
2026-02-24 11:27:25.091904,70.81,6.11,102.1,1593.7,51.46,0
2026-02-24 11:28:25.091904,70.75,5.52,133.35,1648.2,63.53,0
2026-02-24 11:29:25.091904,81.17,7.26,145.09,1485.8,52.79,0
2026-02-24 11:30:25.091904,73.17,4.61,117.54,1493.9,50.27,0
2026-02-24 11:31:25.091904,78.33,3.23,109.22,1476.5,58.04,0
2026-02-24 11:32:25.091904,77.1,6.26,119.13,1526.8,60.93,0
2026-02-24 11:33:25.091904,70.22,4.32,133.94,1430.4,52.35,0
2026-02-24 11:34:25.091904,98.47,9.86,135.7,1484.8,58.51,0
2026-02-24 11:35:25.091904,79.56,5.45,119.58,1548.5,53.12,0
2026-02-24 11:36:25.091904,82.94,6.27,109.04,1451.8,39.65,0
2026-02-24 11:37:25.091904,69.25,3.88,122.9,1484.5,57.3,0
2026-02-24 11:38:25.091904,81.28,7.26,118.84,1531.0,51.09,0
2026-02-24 11:39:25.091904,80.57,4.95,121.42,1488.7,42.34,0
2026-02-24 11:40:25.091904,72.69,4.78,115.39,1465.7,41.19,0
2026-02-24 11:41:25.091904,81.88,4.82,122.29,1540.3,48.49,0
2026-02-24 11:42:25.091904,71.79,2.69,97.76,1499.1,48.77,0
2026-02-24 11:43:25.091904,77.36,4.55,124.28,1512.2,52.78,0
2026-02-24 11:44:25.091904,78.37,5.98,133.56,1459.1,50.5,0
2026-02-24 11:45:25.091904,85.52,2.23,117.73,1464.5,55.5,0
2026-02-24 11:46:25.091904,83.58,6.83,121.5,1542.7,57.45,0
2026-02-24 11:47:25.091904,72.73,4.52,100.84,1587.1,59.93,0
2026-02-24 11:48:25.091904,85.78,5.44,126.21,1469.7,49.48,0
2026-02-24 11:49:25.091904,64.72,1.0,131.06,1543.1,44.15,0
2026-02-24 11:50:25.091904,82.05,5.4,139.58,1533.7,46.51,0
2026-02-24 11:51:25.091904,64.57,3.13,91.67,1547.0,41.23,0
2026-02-24 11:52:25.091904,70.82,4.37,126.31,1494.9,40.1,0
2026-02-24 11:53:25.091904,75.56,2.19,99.24,1557.0,49.85,0
2026-02-24 11:54:25.091904,81.25,3.42,124.67,1532.7,43.88,0
2026-02-24 11:55:25.091904,80.44,4.71,113.39,1474.3,57.31,0
2026-02-24 11:56:25.091904,78.34,4.51,125.97,1476.8,56.19,0
2026-02-24 11:57:25.091904,81.37,6.58,125.14,1642.6,54.33,0
2026-02-24 11:58:25.091904,64.49,1.66,120.99,1548.3,46.47,0
2026-02-24 11:59:25.091904,75.52,4.91,114.55,1515.3,45.3,0
2026-02-24 12:00:25.091904,76.88,4.82,121.94,1483.2,59.79,0
2026-02-24 12:01:25.091904,84.69,4.18,131.26,1479.4,51.89,0
2026-02-24 12:02:25.091904,78.77,3.36,123.21,1514.2,54.06,0
2026-02-24 12:03:25.091904,73.39,6.98,129.49,1442.1,58.28,0
